paket,kategori,ucret_tl,faturalama,hedef_kitle,ana_cikti,upsell_notu
Ucretsiz Demo,Giris,0,tek_sefer,bireysel_danisman,"1 ilan metni;1 AI seslendirme;1 mini CTA","24 saat icinde teslim edilirse donusum artar"
Portfoy Baslangic Kurulumu,Kurulum,24900,tek_sefer,yeni danisman veya duzensiz ofis,"konumlandirma;1 landing page metni;10 icerik iskeleti;3 ses sablonu;lead takip tablosu","kurulum sonrasi aylik pakete gecis teklif edilir"
Saha Paketi,Aylik,14900,aylik,bireysel danisman,"8 post metni;4 video senaryosu;4 seslendirme;1 rapor","ek 4 seslendirme 4500 TL"
Bolge Lideri Paketi,Aylik,27500,aylik,aktif danisman veya kucuk ofis,"16 post metni;8 video senaryosu;8 seslendirme;landing page guncelleme;2 kampanya metni;rapor","ekstra 8 video senaryosu 7500 TL"
Ofis Buyutme Paketi,Aylik,44900,aylik,butik ofis,"24 post metni;12 video senaryosu;12 seslendirme;2 landing page varyasyonu;lead ayiklama akisi;strateji toplantisi","hizli teslim +%20"
Tam Yetki Growth Partner,Premium,69900,aylik,kurucu odakli ofis,"tam yonetim;haftalik koordinasyon;oncelikli teslim;satis mesaj testi;takvim yonetimi","ek ekip oturumu ve kampanya sprinti ayri fiyatlanir"
Ek 4 Seslendirme,Ek Hizmet,4500,tek_sefer,tum musteri tipleri,"4 ek teslim","en kolay upsell"
Ek Landing Page Varyasyonu,Ek Hizmet,6900,tek_sefer,tum musteri tipleri,"1 ek sayfa varyasyonu","kampanya doneminde satilir"
Ek 8 Video Senaryosu,Ek Hizmet,7500,tek_sefer,tum musteri tipleri,"8 ek senaryo","aktif portfoy donemlerinde satilir"
Hizli Teslim Farki,Ek Hizmet,20,yuzde,tum musteri tipleri,"48 saat icinde oncelikli teslim","paket fiyatina oranli uygulanir"

